0 Temps	1 Thermocouple 0	2 Thermocouple 1	3 Thermocouple 2	4 Thermocouple 3	5 Thermocouple 4	6 Pression	7 Force	8 Temps Magna Power	9 Voltage Magna Power	10 Courant Magna Power
2048,200	190,410	201,610	717,160	720,850	720,900	101,170	318,840	113,000	56,700	2,310
2048,400	190,530	201,720	717,120	720,870	720,920	101,160	318,800	113,000	56,700	2,290
2048,600	190,660	201,750	717,120	720,870	720,910	101,160	318,710	113,000	56,700	2,290
2048,800	190,730	201,820	717,090	720,860	720,900	101,160	318,700	113,000	56,700	2,290
2049,000	190,790	201,910	717,100	720,870	720,900	101,160	318,870	114,000	56,700	2,290
2049,200	190,930	202,030	717,090	720,850	720,910	101,160	319,070	114,000	56,700	2,310
2049,400	191,010	202,190	717,060	720,870	720,910	101,150	319,040	114,000	56,700	2,310
2049,600	191,200	202,310	717,040	720,870	720,900	101,160	318,970	114,000	56,700	2,310
2049,800	191,480	202,550	717,040	720,870	720,920	101,150	319,000	114,000	56,700	2,310
2050,000	191,680	202,720	717,040	720,880	720,900	101,160	318,990	115,000	56,700	2,290
2050,200	191,730	202,750	717,040	720,880	720,910	101,160	319,190	115,000	56,700	2,310
2050,400	191,780	202,820	717,040	720,870	720,900	101,160	319,350	115,000	56,700	2,310
2050,600	191,900	202,920	717,040	720,870	720,880	101,150	319,310	115,000	56,700	2,290
2050,800	192,070	203,080	717,040	720,880	720,880	101,150	319,440	115,000	56,700	2,290
2051,000	192,240	203,230	717,040	720,840	720,890	101,150	319,460	115,000	56,600	2,310
2051,200	192,260	203,230	717,040	720,860	720,890	101,150	319,490	116,000	56,600	2,310
2051,400	192,420	203,340	717,040	720,860	720,880	101,160	319,500	116,000	56,700	2,310
2051,600	192,530	203,480	717,050	720,860	720,910	101,150	319,700	116,000	56,700	2,310
2051,800	192,590	203,560	717,040	720,860	720,920	101,150	319,770	117,000	56,600	2,310
2052,000	192,720	203,690	717,050	720,860	720,920	101,150	319,830	117,000	56,600	2,310
2052,200	192,740	203,710	717,040	720,870	720,930	101,150	319,820	117,000	56,600	2,310
2052,400	192,840	203,720	717,040	720,880	720,920	101,140	319,810	117,000	56,700	2,310
2052,600	193,000	203,790	717,040	720,870	720,910	101,140	319,820	117,000	56,700	2,310
2052,800	193,120	203,920	717,040	720,880	720,900	101,140	319,890	118,000	56,600	2,310
2053,000	193,340	204,170	717,050	720,870	720,900	101,140	320,110	118,000	56,600	2,310
2053,200	193,480	204,320	717,040	720,880	720,900	101,140	319,890	118,000	56,600	2,310
2053,400	193,570	204,470	717,060	720,870	720,890	101,140	319,850	118,000	56,600	2,310
2053,600	193,620	204,540	717,060	720,870	720,910	101,140	320,090	118,000	56,600	2,310
2053,800	193,660	204,610	717,060	720,860	720,920	101,140	320,150	118,000	56,600	2,310
2054,000	193,800	204,700	717,060	720,850	720,910	101,140	320,300	119,000	56,600	2,310
2054,200	193,910	204,730	717,050	720,850	720,890	101,140	320,240	119,000	56,600	2,310
2054,400	194,030	204,750	717,060	720,860	720,900	101,140	320,240	119,000	56,600	2,310
2054,600	194,210	204,890	717,060	720,870	720,900	101,140	320,320	119,000	56,700	2,310
2054,800	194,390	205,050	717,050	720,870	720,920	101,140	320,380	119,000	56,700	2,310
2055,000	194,540	205,280	717,050	720,870	720,900	101,140	320,250	120,000	56,600	2,310
2055,200	194,580	205,400	717,060	720,870	720,890	101,140	320,330	120,000	56,600	2,310
2055,400	194,620	205,490	717,060	720,880	720,910	101,140	320,350	120,000	56,600	2,310
2055,600	194,690	205,540	717,060	720,860	720,920	101,140	320,330	120,000	56,700	2,310
2055,800	194,750	205,590	717,060	720,890	720,910	101,140	320,420	120,000	56,700	2,310
2056,000	195,010	205,710	717,070	720,870	720,920	101,140	320,480	121,000	56,600	2,310
2056,200	195,120	205,740	717,060	720,870	720,910	101,140	320,540	121,000	56,600	2,310
2056,400	195,270	205,850	717,060	720,880	720,890	101,140	320,560	121,000	56,600	2,310
2056,600	195,410	205,940	717,090	720,870	720,900	101,140	320,520	121,000	56,700	2,310
2056,800	195,490	206,200	717,080	720,870	720,910	101,140	320,440	122,000	56,700	2,310
2057,000	195,570	206,360	717,110	720,830	720,900	101,140	320,680	122,000	56,500	2,310
2057,200	195,630	206,440	717,090	720,850	720,910	101,140	320,350	122,000	56,500	2,310
2057,400	195,770	206,500	717,070	720,850	720,890	101,140	320,220	122,000	56,500	2,310
2057,600	195,840	206,560	717,060	720,860	720,890	101,140	318,130	122,000	56,500	2,110
2057,800	195,890	206,590	717,050	720,850	720,880	101,140	314,810	122,000	41,300	2,110
2058,000	196,050	206,650	717,110	720,850	720,870	101,130	311,860	123,000	41,300	0,550
2058,200	196,090	206,670	717,120	720,860	720,870	101,130	309,990	123,000	8,300	0,550
2058,400	196,130	206,660	717,190	720,850	720,870	101,140	309,040	123,000	8,300	0,060
2058,600	196,130	206,680	717,250	720,860	720,870	101,140	309,170	123,000	1,100	0,060
2058,800	196,130	206,650	717,240	720,870	720,870	101,140	309,770	123,000	1,100	0,000
2059,000	196,130	206,660	717,120	720,860	720,870	101,140	310,510	124,000	0,400	0,000
2059,200	196,060	206,630	717,070	720,860	720,870	101,140	311,240	124,000	0,400	0,000
2059,400	196,010	206,520	717,100	720,860	720,870	101,140	311,690	124,000	0,300	0,000
2059,600	195,860	206,410	717,080	720,860	720,870	101,140	312,060	124,000	0,300	0,000
2059,800	195,720	206,050	717,060	720,870	720,880	101,120	312,470	125,000	0,300	0,000
2060,000	195,650	205,800	717,130	720,870	720,880	101,130	312,900	125,000	0,300	0,000
2060,200	195,490	205,370	717,110	720,870	720,870	101,120	313,220	125,000	0,200	0,000
2060,400	195,200	204,980	717,140	720,860	720,870	101,120	313,430	125,000	0,200	0,000
2060,600	194,890	204,500	717,130	720,860	720,870	101,100	313,670	125,000	0,200	0,000
2060,800	194,680	204,020	717,080	720,860	720,870	101,100	313,830	125,000	0,200	0,000
2061,000	194,430	203,440	717,070	720,860	720,870	101,100	313,880	126,000	0,200	0,000
2061,200	194,030	202,850	717,090	720,850	720,870	101,050	314,010	126,000	0,200	0,000
2061,400	193,740	202,240	717,400	720,850	720,870	101,040	314,290	126,000	0,200	0,000
2061,600	193,320	201,540	718,640	720,860	720,870	101,070	314,270	126,000	0,200	0,000
2061,800	192,940	200,940	719,160	720,860	720,870	101,070	314,380	127,000	0,200	0,000
2062,000	192,570	200,340	719,380	720,860	720,870	101,040	314,600	127,000	0,200	0,000
2062,200	192,070	199,590	719,430	720,860	720,870	101,030	314,660	127,000	0,200	0,000
2062,400	191,640	198,840	718,710	720,870	720,870	101,020	314,630	127,000	0,100	0,000
2062,600	191,190	198,150	717,710	720,850	720,880	101,010	314,730	127,000	0,100	0,000
2062,800	190,800	197,410	717,310	720,860	720,870	101,000	314,830	127,000	0,100	0,000
2063,000	190,320	196,670	717,140	720,860	720,880	101,000	314,940	128,000	0,100	0,000
2063,200	189,850	195,870	717,080	720,860	720,880	100,990	315,040	128,000	0,100	0,000
2063,400	189,310	195,090	717,050	720,860	720,870	100,990	315,010	128,000	0,100	0,000
2063,600	188,840	194,270	717,040	720,860	720,870	100,990	315,120	128,000	0,100	0,000
2063,800	188,300	193,530	717,040	720,860	720,870	100,990	315,140	129,000	0,100	0,000
2064,000	187,820	192,740	717,030	720,860	720,880	100,990	315,260	129,000	0,100	0,000
2064,200	187,310	191,910	717,030	720,850	720,880	100,990	315,140	129,000	0,100	0,000
2064,400	186,800	191,140	717,030	720,850	720,870	100,990	315,140	129,000	0,100	0,000
2064,600	186,290	190,290	717,050	720,860	720,870	100,990	315,270	129,000	0,100	0,000
2064,800	185,740	189,510	717,040	720,860	720,870	100,990	315,380	129,000	0,100	0,000
2065,000	185,280	188,800	717,060	720,850	720,880	100,990	315,240	130,000	0,100	0,000
